image_name,# of ecDNA (DAPI),# of ecDNA (green),# of ecDNA (red),# of ecDNA (DAPI and green),# of ecDNA (DAPI and red),# of ecDNA (red and green),# of ecDNA (DAPI and red and green),# of HSR (red),# of HSR (green)
3665.tif,"(1, 52)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3666.tif,"(1, 53)","(4, 61)","(2, 5)",1.0,0.0,0.0,0.0,0.0,5.0
3667.tif,"(0, 0.0)","(0, 0.0)","(1, 6)",0.0,0.0,0.0,0.0,1.0,0.0
3668.tif,"(5, 213)","(0, 0.0)","(3, 14)",0.0,0.0,0.0,0.0,1.0,0.0
3669.tif,"(1, 22)","(2, 12)","(1, 3)",0.0,0.0,0.0,0.0,1.0,1.0
3670.tif,"(3, 136)","(2, 17)","(2, 15)",0.0,0.0,1.0,0.0,1.0,2.0
3671.tif,"(0, 0.0)","(2, 72)","(1, 61)",0.0,0.0,0.0,0.0,0.0,0.0
3672.tif,"(0, 0.0)","(1, 8)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3673.tif,"(3, 108)","(5, 32)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,4.0
3674.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3676.tif,"(5, 110)","(0, 0.0)","(1, 28)",0.0,0.0,0.0,0.0,0.0,0.0
3677.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3682.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3683.tif,"(1, 100)","(1, 3)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3687.tif,"(4, 197)","(0, 0.0)","(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
3688.tif,"(3, 186)","(1, 4)","(2, 15)",0.0,0.0,0.0,0.0,1.0,1.0
3689.tif,"(2, 73)","(5, 30)","(6, 21)",0.0,0.0,1.0,0.0,2.0,6.0
3690.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3691.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3692.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3693.tif,"(0, 0.0)","(2, 22)","(2, 3)",0.0,0.0,1.0,0.0,1.0,3.0
3694.tif,"(1, 60)","(1, 1)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3695.tif,"(0, 0.0)","(0, 0.0)","(2, 3)",0.0,0.0,0.0,0.0,0.0,0.0
3697.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3698.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3699.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3700.tif,"(0, 0.0)","(0, 0.0)","(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0
3701.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3702.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3703.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3704.tif,"(4, 108)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3705.tif,"(5, 484)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3706.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3707.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3708.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3709.tif,"(16, 1070)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3710.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3711.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3712.tif,"(1, 31)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3713.tif,"(17, 960)","(0, 0.0)","(4, 133)",0.0,1.0,0.0,0.0,1.0,0.0
3714.tif,"(8, 470)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
3715.tif,"(4, 149)","(0, 0.0)","(3, 47)",0.0,0.0,0.0,0.0,1.0,0.0
3716.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3717.tif,"(1, 26)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3718.tif,"(3, 173)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3719.tif,"(22, 1187)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3724.tif,"(1, 12)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3725.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3727.tif,"(6, 323)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3728.tif,"(4, 154)","(0, 0.0)","(7, 99)",0.0,0.0,0.0,0.0,1.0,0.0
3729.tif,"(8, 442)","(0, 0.0)","(4, 24)",0.0,1.0,0.0,0.0,0.0,0.0
3730.tif,"(0, 0.0)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
3731.tif,"(10, 265)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
3732.tif,"(1, 16)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
3733.tif,"(8, 226)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3734.tif,"(0, 0.0)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
3735.tif,"(0, 0.0)","(0, 0.0)","(2, 11)",0.0,0.0,0.0,0.0,0.0,0.0
3737.tif,"(1, 45)","(0, 0.0)","(4, 36)",0.0,0.0,0.0,0.0,0.0,0.0
3738.tif,"(1, 16)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
3745.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3746.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3748.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3749.tif,"(3, 111)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3750.tif,"(1, 56)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,1.0,0.0
3752.tif,"(0, 0.0)","(0, 0.0)","(1, 624)",0.0,0.0,0.0,0.0,0.0,0.0
3753.tif,"(4, 122)","(0, 0.0)","(4, 28)",0.0,0.0,0.0,0.0,1.0,0.0
3754.tif,"(2, 90)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3755.tif,"(2, 23)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3756.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
3757.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3758.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,1.0,0.0
3759.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3760.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3761.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3762.tif,"(0, 0.0)","(0, 0.0)","(2, 8)",0.0,0.0,0.0,0.0,0.0,0.0
3763.tif,"(0, 0.0)","(0, 0.0)","(4, 79)",0.0,0.0,0.0,0.0,0.0,0.0
3764.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3765.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3766.tif,"(3, 151)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
3767.tif,"(0, 0.0)","(0, 0.0)","(2, 7)",0.0,0.0,0.0,0.0,0.0,0.0
3768.tif,"(0, 0.0)","(0, 0.0)","(41, 529)",0.0,0.0,0.0,0.0,0.0,0.0
3769.tif,"(0, 0.0)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
3770.tif,"(0, 0.0)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
3771.tif,"(2, 88)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3772.tif,"(0, 0.0)","(0, 0.0)","(2, 37)",0.0,0.0,0.0,0.0,0.0,0.0
3774.tif,"(1, 12)","(0, 0.0)","(8, 108)",0.0,0.0,0.0,0.0,1.0,0.0
3776.tif,"(0, 0.0)","(0, 0.0)","(2, 8)",0.0,0.0,0.0,0.0,0.0,0.0
3777.tif,"(3, 65)","(0, 0.0)","(2, 7)",0.0,0.0,0.0,0.0,0.0,0.0
3778.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
3779.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3781.tif,"(0, 0.0)","(0, 0.0)","(5, 105)",0.0,0.0,0.0,0.0,0.0,0.0
3782.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3785.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3786.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3788.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3789.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3790.tif,"(1, 36)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3791.tif,"(3, 77)","(0, 0.0)","(6, 43)",0.0,0.0,0.0,0.0,1.0,0.0
3792.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3793.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3794.tif,"(2, 47)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3795.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3796.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3797.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3798.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3799.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3800.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3805.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3808.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3809.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3810.tif,"(4, 191)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3811.tif,"(0, 0.0)","(0, 0.0)","(5, 127)",0.0,0.0,0.0,0.0,1.0,0.0
3812.tif,"(1, 73)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3813.tif,"(2, 64)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3814.tif,"(1, 34)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3815.tif,"(1, 16)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3816.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3817.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3818.tif,"(3, 60)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3819.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3820.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3821.tif,"(1, 11)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3822.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3823.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3825.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3826.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3827.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3829.tif,"(3, 148)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3830.tif,"(4, 122)","(0, 0.0)","(6, 95)",0.0,0.0,0.0,0.0,2.0,0.0
3831.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3833.tif,"(1, 24)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3834.tif,"(1, 34)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
3835.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3840.tif,"(0, 0.0)","(0, 0.0)","(4, 6)",0.0,0.0,0.0,0.0,0.0,0.0
3841.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3842.tif,"(0, 0.0)","(0, 0.0)","(2, 3)",0.0,0.0,0.0,0.0,0.0,0.0
3844.tif,"(0, 0.0)","(0, 0.0)","(5, 34)",0.0,0.0,0.0,0.0,0.0,0.0
3845.tif,"(0, 0.0)","(0, 0.0)","(10, 515)",0.0,0.0,0.0,0.0,2.0,0.0
3846.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3847.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3848.tif,"(1, 11)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3849.tif,"(0, 0.0)","(0, 0.0)","(3, 45)",0.0,0.0,0.0,0.0,1.0,0.0
3850.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3852.tif,"(2, 87)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,0.0
3853.tif,"(1, 18)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
3856.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3857.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3858.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3859.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3862.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3863.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3864.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3865.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
3866.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3867.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3868.tif,"(0, 0.0)","(0, 0.0)","(4, 42)",0.0,0.0,0.0,0.0,0.0,0.0
3869.tif,"(1, 21)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3870.tif,"(1, 25)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
3871.tif,"(5, 216)","(0, 0.0)","(5, 61)",0.0,0.0,0.0,0.0,1.0,0.0
3872.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3873.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
3874.tif,"(3, 99)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3875.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3876.tif,"(1, 19)","(0, 0.0)","(1, 23)",0.0,0.0,0.0,0.0,0.0,0.0
3877.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3878.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3884.tif,"(0, 0.0)","(0, 0.0)","(1, 24)",0.0,0.0,0.0,0.0,0.0,0.0
3885.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3886.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3887.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3888.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3889.tif,"(0, 0.0)","(0, 0.0)","(3, 9)",0.0,0.0,0.0,0.0,0.0,0.0
3890.tif,"(8, 180)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3891.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3892.tif,"(0, 0.0)","(0, 0.0)","(2, 5)",0.0,0.0,0.0,0.0,0.0,0.0
3893.tif,"(1, 16)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3894.tif,"(0, 0.0)","(0, 0.0)","(2, 5)",0.0,0.0,0.0,0.0,1.0,0.0
3895.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3898.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3900.tif,"(8, 303)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3901.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3902.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3903.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3904.tif,"(2, 57)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3905.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3906.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3907.tif,"(1, 23)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3908.tif,"(1, 24)","(0, 0.0)","(2, 5)",0.0,0.0,0.0,0.0,0.0,0.0
3909.tif,"(0, 0.0)","(0, 0.0)","(3, 57)",0.0,0.0,0.0,0.0,1.0,0.0
3910.tif,"(0, 0.0)","(0, 0.0)","(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
3911.tif,"(14, 487)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3912.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3913.tif,"(3, 181)","(0, 0.0)","(5, 26)",0.0,1.0,0.0,0.0,0.0,0.0
3914.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,0.0
3922.tif,"(0, 0.0)","(0, 0.0)","(2, 14)",0.0,0.0,0.0,0.0,0.0,0.0
3923.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3925.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3926.tif,"(1, 50)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3927.tif,"(0, 0.0)","(0, 0.0)","(3, 14)",0.0,0.0,0.0,0.0,0.0,0.0
3929.tif,"(1, 34)","(0, 0.0)","(2, 14)",0.0,1.0,0.0,0.0,0.0,0.0
3930.tif,"(2, 56)","(0, 0.0)","(1, 8)",0.0,0.0,0.0,0.0,1.0,0.0
3931.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3933.tif,"(0, 0.0)","(0, 0.0)","(4, 313)",0.0,0.0,0.0,0.0,1.0,0.0
3934.tif,"(1, 16)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,1.0,0.0
3935.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3936.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3937.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3938.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3939.tif,"(0, 0.0)","(0, 0.0)","(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
3940.tif,"(50, 2257)","(1, 6)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3941.tif,"(6, 364)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3942.tif,"(2, 66)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3944.tif,"(23, 1091)","(3, 13)","(6, 219)",0.0,1.0,1.0,0.0,2.0,2.0
3945.tif,"(1, 35)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3946.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3947.tif,"(3, 85)","(2, 8)","(4, 182)",0.0,0.0,2.0,0.0,1.0,1.0
3948.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3949.tif,"(6, 224)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3950.tif,"(3, 398)","(1, 1)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3951.tif,"(3, 81)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3952.tif,"(0, 0.0)","(0, 0.0)","(3, 11)",0.0,0.0,0.0,0.0,0.0,0.0
3953.tif,"(3, 104)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3954.tif,"(3, 45)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3955.tif,"(0, 0.0)","(0, 0.0)","(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
3956.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3957.tif,"(0, 0.0)","(0, 0.0)","(1, 29)",0.0,0.0,0.0,0.0,0.0,0.0
3959.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3960.tif,"(2, 44)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3964.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3966.tif,"(2, 63)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3968.tif,"(8, 586)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3969.tif,"(35, 1887)","(5, 60)","(4, 478)",0.0,0.0,3.0,0.0,2.0,3.0
3970.tif,"(25, 1323)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3971.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3972.tif,"(9, 560)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3973.tif,"(27, 1431)","(2, 6)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
3974.tif,"(6, 191)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3975.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3976.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3978.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3983.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3984.tif,"(3, 203)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3985.tif,"(3, 115)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3986.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3987.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
3988.tif,"(13, 504)","(1, 6)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
